1	2.08	1.19	1.09	1.87	2.65	3.43	4.20	4.98	5.76	6.53	7.31	8.09	8.86	
2	3.04	1.70	1.59	2.92	4.26	5.60	6.93	8.27	9.60	10.94	12.28	13.61	14.95	
3	3.97	2.40	2.27	4.30	6.33	8.36	10.39	12.42	14.45	16.48	18.51	20.54	22.57	
4	4.88	3.29	3.15	6.03	8.91	11.79	14.67	17.56	20.44	23.32	26.20	29.09	31.97	
5	5.78	4.37	4.21	8.11	12.01	15.91	19.81	23.71	27.61	31.51	35.41	39.31	43.21	
