1	2.08	1.19	0.00 	1.01 	0.93 	0.88 	0.86 	0.84 	0.83 	0.82 	0.81 	0.81 	
2	3.04	1.70	0.00 	1.30 	1.15 	1.07 	1.02 	0.99 	0.97 	0.95 	0.94 	0.93 	
3	3.97	2.40	0.00 	1.64 	1.40 	1.27 	1.20 	1.15 	1.12 	1.09 	1.07 	1.06 	
4	4.88	3.29	0.00 	2.04 	1.69 	1.51 	1.41 	1.34 	1.29 	1.25 	1.22 	1.20 	
5	5.78	4.37	0.00 	2.50 	2.02 	1.78 	1.64 	1.54 	1.47 	1.42 	1.38 	1.35 	
