10	1.000000	0.444444	0.384615	0.000000	0.000000	
20	1.666667	0.800000	0.714286	0.352941	0.333333	
40	2.142857	1.538462	1.250000	0.947368	0.636364	
80	2.500000	2.315789	2.000000	1.636364	1.400000	
160	2.727273	2.933333	2.857143	2.571429	2.333333	
320	2.857143	3.396226	3.636364	3.600000	3.500000	
640	2.926829	3.676768	4.210526	4.523077	4.666667	
1280	2.962963	3.831579	4.571429	5.157895	5.600000	
2560	2.981366	3.914209	4.776119	5.547170	6.222222	
5120	2.990654	3.956698	4.885496	5.765281	6.588235	
10240	2.995320	3.978231	4.942085	5.880448	6.787879	
20480	2.997658	3.989090	4.970874	5.939661	6.892308	
40960	2.998829	3.994538	4.985394	5.969678	6.945736	
81920	2.999414	3.997267	4.992686	5.984803	6.972763	
