#F	1	2	5	10
1	8	6.0	3.6	2.8
2	12	8.0	4.4	3.2
3	16	10.0	5.2	3.6
4	20	12.0	6.0	4.0
5	24	14.0	6.8	4.4
6	28	16.0	7.6	4.8
7	32	18.0	8.4	5.2
8	36	20.0	9.2	5.6
9	40	22.0	10.0	6.0
10	44	24.0	10.8	6.4
