#size pbft a2mpbft (sig) a2mpbft (mac) a2mpbftsym (sig) a2mpbftsym (mac)

0	0.481	1.282	0.521	4.104	0.761  
1000	0.655	1.510	0.771	4.308	0.979
2000	0.894	1.669	0.919	4.490	1.192
4000	1.157	1.906	1.295	4.523	1.467	
