1,0.0001883627203920494_0.2715401694673192
2,3.167249470915663e-05_0.08994956060356642
3,6.7181913599971e-05_0.14742550329294
4,0.08101870946647775_0.5628715294332038
5,0.00266923496905302_0.8220530874262785
6,0.0004768333987637101_0.4360059513583559
7,0.1565197459336915_0.3154800243835346
8,0.005942415002571281_0.9601095676421973
9,0.0008421353419006421_0.5588018744283223
10,0.2310429776034148_0.1902481025772261
11,0.1230477674549213_0.4032751324406275
12,0.0007948944032894149_0.5457711374679658
13,0.01132178161008585_0.9999599183615172
14,0.00200722193379952_0.7595064888425133
15,7.311813390287625e-05_0.1554800996952303
16,0.00232904038180023_0.7926591952312237
17,0.0864197719672905_0.5382282004232919
18,0.0008772230662065019_0.5680743924280715
19,0.01807433943901379_0.9725327047281473
20,0.09214150068917687_0.5136422186982819
21,2.318129198668831e-06_0.01246152953047827
22,0.008706635775374991_0.9935961640772489
23,0.1191495543631216_0.4153963945993935
24,0.001347777637222449_0.6675347726519589
25,1.737126644741774e-05_0.05905900948999095
26,0.001569335053478381_0.7029977902295923
27,0.0007596677347487901_0.5356139781907842
28,0.008056301278655776_0.9889827669383685
29,0.01765320553715387_0.9751663957830636
30,0.0005575478392416322_0.4683779195084886
31,0.01955178416218197_0.9627793317239843
32,0.008832902095632611_0.9943197957632882
33,0.04694551545848753_0.757793574304521
34,0.06866667507563494_0.6250717499330196
35,0.02397237822674602_0.9305011844151657
36,0.1937774056677384_0.2436150090886778
37,0.005109607470734058_0.9400788642110948
38,0.008126678247125829_0.9895585604100903
39,0.01255269179149279_0.9983198490764676
40,0.7534699159191109_0.006398918701177538
41,0.0451341155812523_0.7703636454685979
42,0.005098602120045696_0.939768327474011
43,0.003428120077640466_0.8725753967980169
44,0.006386010273366617_0.9683986685603188
45,0.01241506294964083_0.9986109128449216
46,0.3770521903393876_0.07648944462534871
47,0.003788811842339316_0.8912116115384825
48,0.01632277795536811_0.9829506735524475
49,0.002303618930227236_0.790247465822442
50,0.001540723307996637_0.6987219502559541
51,0.01432702024225828_0.9926260088387185
52,0.003970816263514974_0.8995911329901702
53,0.02870365526004176_0.8937573293351866
54,0.02774667867753389_0.9012491901225275
55,0.03251731344118048_0.8639762736412974
56,0.1231508479025623_0.4029607422547092
57,0.005364213151299422_0.9469040031046061
58,0.0001273401602817375_0.2174406484188492
59,0.05330342949122326_0.7155535701141806
60,0.04410607463697715_0.7776025608663297
61,0.0009781413386832293_0.5930173258557241
62,0.009859936789724338_0.9984410860272043
63,3.324499213783778e-05_0.09296425318498602
64,0.4301454543231761_0.05537756306605915
65,0.144700871494886_0.3434818211377992
66,0.082043821405303_0.5580820109614051
67,1.518643776445707e-06_0.008766391899825893
68,0.002772569414720328_0.8300336765950742
69,0.03811420528730838_0.8212501421120694
70,0.01014841766448846_0.9991006525441704
71,0.02724701132681724_0.9051558882024467
72,0.0003664574192606175_0.384357479848926
73,0.01051395377676069_0.9996653535950956
74,0.0006834069149132553_0.5121881723247934
75,0.001055580093265639_0.6106184266093155
76,0.02164607045894125_0.947919141718039
77,0.01552359863870988_0.9871578526040856
78,0.007506350045137554_0.9837644641318389
79,0.08880619792819813_0.5277904928085216
80,0.02208996239012938_0.9446548411593033
81,0.01447094948609716_0.9920282732294723
82,0.1417426387902818_0.3509647233550555
83,0.0004298378776781076_0.4152073031648136
84,0.1746037045456509_0.2778181444893059
85,0.07277065690979856_0.6034467636057246
86,0.1872400964925453_0.2546838604029205
87,0.0002576548684762758_0.3213718841740671
88,0.06786148804063973_0.6294331373174485
89,0.4440457590564426_0.05087969963420598
90,0.0006959410541891779_0.5161831735940368
91,5.195723781809447e-05_0.1250577879454331
92,0.001179350325918475_0.6363860430870109
93,0.007258305705786799_0.9809557084092397
94,0.1011857335036263_0.4776874783758567
95,0.07996319788154727_0.5678596974753715
96,0.0001304106971239314_0.2204789057112704
97,0.0001814771423090359_0.266006221553725
98,0.05722455592372114_0.6909454414046265
99,0.0007148634293808694_0.5221028991135904
100,0.005656375882731933_0.9539474664864636
101,0.03176617055279483_0.8698163591520853
102,0.09536477361284615_0.5004364585412738
103,0.004508706199851758_0.9210027336120279
104,0.4978240894260584_0.03657586295357641
105,0.3612839189253246_0.08420586427699307
106,3.445466974510511e-06_0.01719892947066456
107,0.01375098757306871_0.99483198858372
108,0.5985351815165899_1.012535163014263e-07
109,0.6506664633401749_2.005660729079732e-07
110,0.9059021808214703_0.001458726632070601
111,0.9886555918177802_0.0002985804925790504
112,0.03284672651289145_0.8614211731168416
113,0.04637599584990362_0.7617201790715428
114,5.429146819811854e-05_0.1286686101845265
115,0.1034983254108284_0.4690225781865486
116,0.000711107283241059_0.5209382606797792
117,0.04511818327541134_0.7704752551614097
118,0.000905567233165224_0.5753289777216766
119,0.0006093238350343613_0.4872726113589447
120,0.09492525866271363_0.5022108633814494
121,0.001947858267557731_0.7527041177084267
122,0.0002939993027213808_0.3441162148297237
123,0.1499722029752099_0.3306303073846502
124,0.00351082440786777_0.8771069365465317
125,0.01239680157737168_0.9986476600554381
126,0.2079125280254219_0.2215539600971561
127,0.3262837379692758_0.1043456272403032
128,0.6794458971961332_0.01113254346908319
129,0.04666999210071419_9.510726096813211e-14
130,0.61490124115401_0.01732859892801075
131,0.5176223760377185_0.03234380643398384
132,0.6670202375707167_0.01215148550131536
133,0.1797280325547269_0.2681468013592372
134,0.0001131366887306938_0.202834653056692
135,0.05619317355797152_0.6973134637301958
136,0.6452493962317378_0.01412532997035415
137,0.007915887691770497_0.987774114275474
138,4.235852492158704e-05_0.1093724577575479
139,0.009462572120916966_0.9971947151654569
140,0.0067442761465594_0.9741034579043156
141,0.01203751260198668_0.9992778383671975
142,0.00650104125728215_0.9703206508344069
143,0.0005337338570911204_0.4592227247023903
144,0.006323395938838622_0.9673148373096394
145,0.0008664363962573191_0.5652590400051739
146,0.7788800210963429_1.076738662038257e-06
147,0.9987063772220188_9.070686338790094e-05
148,0.9699204963593192_2.635182751486047e-05
149,0.3999737211603375_5.858475587815378e-09
150,0.1881190872005085_0.2531615324089233
151,0.8233274258330734_0.003526109127395657
152,0.1938230404542381_0.2435397575011592
153,0.7805667980719797_1.101489323370686e-06
154,0.2860676621346597_7.615393438934237e-10
155,0.007949778018125421_0.9880732625858488
156,7.350802178305075e-08_0.0005745756576436636
157,0.002974347774227454_0.8445206663192348
158,0.2385066238313978_0.1812481475372554
159,0.003263114423350125_0.8630286200698331
160,0.002191294096601023_0.7791872226273175
161,0.04513513916591388_0.7703564756309524
162,0.005340904121843851_0.9463068765153392
163,0.05584238610038638_0.6994962348996254
164,0.01043564249600932_0.999568666148032
165,0.00289059074350697_0.8386748205941592
166,0.7739862499243095_1.008204640530732e-06
167,0.07254248180674987_0.604623073171096
168,0.9934764462982976_0.0002419874839925192
169,0.3107759218689938_1.237175633106018e-09
170,0.2823690689452193_7.063355847202253e-10
171,0.04916504545143315_0.7427152205776115
172,0.0234298175561504_0.9346246407471241
173,0.06901384935633628_0.6232034439471519
174,0.2065142828731326_1.238714094058441e-10
175,0.0001293735187159884_0.2194571045831197
176,0.0003955975502401546_0.3989798747137286
177,0.404492955440842_0.06473015827498158
178,0.1327544502253393_0.3749793733830313
179,0.00112442636564591_0.6252845790100707
180,0.128660808318652_0.3865973588836247
181,0.05704692583560624_0.6920369021713596
182,0.001117988661937468_0.6239496249135148
183,0.01045842351846117_0.9995981241383013
184,0.000259374533398978_0.3224937199843387
185,0.2525722874162798_0.1655611401516409
