2,1,0.257905,0.3461
3,1,0.775104,0.753358
4,1,0.239087,0.185343
5,1,0.416937,0.478165
6,1,0.194817,0.248943
7,1,0.16335,0.234018
8,1,0.252044,0.302955
9,1,0.251273,0.232675
1,2,0.3461,0.257905
3,2,0.438893,0.222349
4,2,0.598886,0.571303
5,2,0.406685,0.418193
6,2,0.523851,0.522914
7,2,0.25766,0.320967
8,2,0.206302,0.0805066
9,2,0.161386,0.121596
1,3,0.753358,0.775104
2,3,0.222349,0.438893
4,3,0.407831,0.517844
5,3,0.507574,0.64681
6,3,0.169906,0.339488
7,3,0.139611,0.285194
8,3,0.187911,0.26161
9,3,0.326951,0.457715
1,4,0.185343,0.239087
2,4,0.571303,0.598886
3,4,0.517844,0.407831
5,4,0.295198,0.410747
6,4,0.216184,0.31624
7,4,0.153033,0.258198
8,4,0.216331,0.228563
9,4,0.317962,0.310618
1,5,0.478165,0.416937
2,5,0.418193,0.406685
3,5,0.64681,0.507574
4,5,0.410747,0.295198
6,5,0.609177,0.639377
7,5,0.203461,0.224412
8,5,0.157577,0.0149949
9,5,0.636748,0.575565
1,6,0.248943,0.194817
2,6,0.522914,0.523851
3,6,0.339488,0.169906
4,6,0.31624,0.216184
5,6,0.639377,0.609177
7,6,0.410011,0.411726
8,6,0.540267,0.633862
9,6,0.587764,0.473563
1,7,0.234018,0.16335
2,7,0.320967,0.25766
3,7,0.285194,0.139611
4,7,0.258198,0.153033
5,7,0.224412,0.203461
6,7,0.411726,0.410011
8,7,0.487082,0.486097
9,7,0.469526,0.321856
1,8,0.302955,0.252044
2,8,0.0805066,0.206302
3,8,0.26161,0.187911
4,8,0.228563,0.216331
5,8,0.0149949,0.157577
6,8,0.633862,0.540267
7,8,0.486097,0.487082
9,8,0.664434,0.482351
1,9,0.232675,0.251273
2,9,0.121596,0.161386
3,9,0.457715,0.326951
4,9,0.310618,0.317962
5,9,0.575565,0.636748
6,9,0.473563,0.587764
7,9,0.321856,0.469526
8,9,0.482351,0.664434
