0 20 0 0
0 20 0 0.181818181818182
1 10 0.1 0.181818181818182
1 10 0.1 0.272727272727273
2 5 0.2 0.272727272727273
2 5 0.2 0.318181818181818
3 9 0.3 0.318181818181818
3 9 0.3 0.4
4 9 0.4 0.4
4 9 0.4 0.481818181818182
5 11 0.5 0.481818181818182
5 11 0.5 0.581818181818182
6 9 0.6 0.581818181818182
6 9 0.6 0.663636363636364
7 8 0.7 0.663636363636364
7 8 0.7 0.736363636363636
8 8 0.8 0.736363636363636
8 8 0.8 0.809090909090909
9 4 0.9 0.809090909090909
9 4 0.9 0.845454545454545
10 17 1 0.845454545454545
10 17 1 1
