1,1,V,1
2,1,V,1
2,2,V,1
3,1,V,1
3,3,V,1
3,4,V,1
4,1,V,1
4,2,V,1
4,4,V,1
5,5,V,1
6,3,V,1
6,4,V,1
6,6,V,1
7,4,V,1
7,6,V,1
7,7,V,1
8,7,V,1
8,8,V,1
9,7,V,1
9,8,V,1
9,9,V,1
10,6,V,1
10,7,V,1
10,9,V,1
10,10,V,1
11,10,V,1
11,11,V,1
12,11,V,1
12,12,V,1
13,11,V,1
13,12,V,1
13,13,V,1
14,13,V,1
14,14,V,1
15,14,V,1
15,15,V,1
16,15,V,1
16,16,V,1
17,16,V,1
17,17,V,1
18,14,V,1
18,15,V,1
18,18,V,1
19,17,V,1
19,18,V,1
19,19,V,1
20,17,V,1
20,19,V,1
20,20,V,1
21,19,V,1
21,20,V,1
21,21,V,1
22,20,V,1
22,22,V,1
23,21,V,1
23,22,V,1
23,23,V,1
24,22,V,1
24,24,V,1
25,23,V,1
25,24,V,1
25,25,V,1
26,25,V,1
26,26,V,1
27,23,V,1
27,26,V,1
27,27,V,1
28,26,V,1
28,27,V,1
28,28,V,1
29,27,V,1
29,28,V,1
29,29,V,1
30,28,V,1
30,29,V,1
30,30,V,1
31,29,V,1
31,30,V,1
31,31,V,1
32,30,V,1
32,31,V,1
32,32,V,1
32,33,V,1
33,1,V,1
33,3,V,1
33,31,V,1
33,33,V,1
34,1,V,1
34,32,V,1
34,33,V,1
34,34,V,1
35,1,V,1
35,34,V,1
35,35,V,1
36,34,V,1
36,35,V,1
36,36,V,1
37,35,V,1
37,36,V,1
37,37,V,1
38,36,V,1
38,38,V,1
39,37,V,1
39,38,V,1
39,39,V,1
40,38,V,1
40,39,V,1
40,40,V,1
41,40,V,1
41,41,V,1
42,41,V,1
42,42,V,1
43,40,V,1
43,41,V,1
43,43,V,1
44,42,V,1
44,44,V,1
45,43,V,1
45,44,V,1
45,45,V,1
46,43,V,1
46,45,V,1
46,46,V,1
47,44,V,1
47,45,V,1
47,47,V,1
48,46,V,1
48,47,V,1
48,48,V,1
49,47,V,1
49,49,V,1
50,49,V,1
50,50,V,1
50,51,V,1
51,48,V,1
51,49,V,1
51,51,V,1
52,51,V,1
52,52,V,1
53,52,V,1
53,53,V,1
54,53,V,1
54,54,V,1
Done,0,V,1
