Spanning Tree Edges
r21.millennium.berkeley.edu:23038, r18.millennium.berkeley.edu:23035, 2007-Dec-14, 02:57:49.550267
r26.millennium.berkeley.edu:23043, r31.millennium.berkeley.edu:23048, 2007-Dec-14, 02:57:44.884882
r19.millennium.berkeley.edu:23036, r22.millennium.berkeley.edu:23039, 2007-Dec-14, 02:57:50.445705
r26.millennium.berkeley.edu:23043, r32.millennium.berkeley.edu:23049, 2007-Dec-14, 02:57:44.886356
r19.millennium.berkeley.edu:23036, r11.millennium.berkeley.edu:23002, 2007-Dec-14, 03:00:58.011626
r11.millennium.berkeley.edu:23002, r12.millennium.berkeley.edu:23003, 2007-Dec-14, 02:57:18.772309
r11.millennium.berkeley.edu:23002, r19.millennium.berkeley.edu:23036, 2007-Dec-14, 03:00:58.018086
r26.millennium.berkeley.edu:23043, r33.millennium.berkeley.edu:23050, 2007-Dec-14, 02:57:44.901693
r26.millennium.berkeley.edu:23043, r25.millennium.berkeley.edu:23042, 2007-Dec-14, 02:57:47.795726
r25.millennium.berkeley.edu:23042, r21.millennium.berkeley.edu:23038, 2007-Dec-14, 02:57:44.783743
r25.millennium.berkeley.edu:23042, r26.millennium.berkeley.edu:23043, 2007-Dec-14, 02:57:47.801827
r25.millennium.berkeley.edu:23042, r28.millennium.berkeley.edu:23045, 2007-Dec-14, 02:57:47.805372
r25.millennium.berkeley.edu:23042, r29.millennium.berkeley.edu:23046, 2007-Dec-14, 02:57:47.809672
r25.millennium.berkeley.edu:23042, r23.millennium.berkeley.edu:23040, 2007-Dec-14, 03:01:06.039774
r26.millennium.berkeley.edu:23043, r30.millennium.berkeley.edu:23047, 2007-Dec-14, 03:01:06.129398
r15.millennium.berkeley.edu:23006, r10.millennium.berkeley.edu:23001, 2007-Dec-14, 02:57:18.72472
r15.millennium.berkeley.edu:23006, r17.millennium.berkeley.edu:23008, 2007-Dec-14, 03:00:53.409504
r18.millennium.berkeley.edu:23009, r12.millennium.berkeley.edu:23003, 2007-Dec-14, 03:00:53.134931
r15.millennium.berkeley.edu:23006, r16.millennium.berkeley.edu:23007, 2007-Dec-14, 03:00:53.410985
r18.millennium.berkeley.edu:23009, r22.millennium.berkeley.edu:23013, 2007-Dec-14, 03:00:55.412402
r18.millennium.berkeley.edu:23009, r21.millennium.berkeley.edu:23012, 2007-Dec-14, 03:00:55.434103
r18.millennium.berkeley.edu:23009, r19.millennium.berkeley.edu:23010, 2007-Dec-14, 03:00:55.437634
r22.millennium.berkeley.edu:23039, r19.millennium.berkeley.edu:23036, 2007-Dec-14, 02:57:50.438701
r16.millennium.berkeley.edu:23033, r12.millennium.berkeley.edu:23003, 2007-Dec-14, 02:57:40.876394
r9.millennium.berkeley.edu:23026, r11.millennium.berkeley.edu:23028, 2007-Dec-14, 03:00:57.859546
r22.millennium.berkeley.edu:23013, r24.millennium.berkeley.edu:23015, 2007-Dec-14, 02:57:23.243431
r22.millennium.berkeley.edu:23013, r26.millennium.berkeley.edu:23017, 2007-Dec-14, 02:57:23.24698
r22.millennium.berkeley.edu:23013, r18.millennium.berkeley.edu:23009, 2007-Dec-14, 03:00:55.409616
r26.millennium.berkeley.edu:23017, r22.millennium.berkeley.edu:23013, 2007-Dec-14, 02:57:23.238306
r27.millennium.berkeley.edu:23044, r21.millennium.berkeley.edu:23038, 2007-Dec-14, 02:57:44.73562
r26.millennium.berkeley.edu:23017, r32.millennium.berkeley.edu:23023, 2007-Dec-14, 02:57:28.334165
r28.millennium.berkeley.edu:23045, r25.millennium.berkeley.edu:23042, 2007-Dec-14, 02:57:47.797125
r26.millennium.berkeley.edu:23017, r33.millennium.berkeley.edu:23024, 2007-Dec-14, 02:57:28.352238
r12.millennium.berkeley.edu:23003, r10.millennium.berkeley.edu:23001, 2007-Dec-14, 02:57:18.763343
r12.millennium.berkeley.edu:23003, r11.millennium.berkeley.edu:23002, 2007-Dec-14, 02:57:18.781762
r12.millennium.berkeley.edu:23003, r15.millennium.berkeley.edu:23032, 2007-Dec-14, 02:57:40.881592
r12.millennium.berkeley.edu:23003, r16.millennium.berkeley.edu:23033, 2007-Dec-14, 02:57:40.884837
r12.millennium.berkeley.edu:23003, r18.millennium.berkeley.edu:23009, 2007-Dec-14, 03:00:53.142327
r9.millennium.berkeley.edu:23052, r16.millennium.berkeley.edu:23007, 2007-Dec-14, 02:57:45.118554
r9.millennium.berkeley.edu:23052, r34.millennium.berkeley.edu:23051, 2007-Dec-14, 03:01:06.094598
Reachable
