#Period  CPUAvg CPUStdDev MemAvg MemStdDev
-8 1 0.0318852107828483 9341.61066666667 2026.68913705438
1 93.3894444444445 0.00283278861866008 39911.424 3051.32114967315
2 39.8411111111111 0.249240822608015 25406.1226666667 611.803413875914
4 7.495 0.0379326889224701 16661.1626666667 727.362672684145
8 2.67777777777778 0.0477906959280146 14469.8026666667 1423.84695107616
16 1.62222222222222 0.0900240022863586 13437.6106666667 1579.75143876188
32 1.25888888888889 0.091745757125969 11735.04 1554.59253979942
